Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
King Edward is now overlord of this northern kingdom.	King Edward is now the captain of this northern ship.	King Edward is now the captain of this northern kingdom.	King Edward is now the father of this northern family.	King Edward is now the father of this northern kingdom.
Mike Chittenden staggered in flames into a neighbouring office where terrified workers doused the flames.	Mike Chittenden, a burning comet, crashed into a neighbouring office where terrified workers extinguished his fire.	Mike Chittenden staggered in a fiery storm into a neighbouring office where terrified workers doused the flames.	Mike Chittenden rolled in flames into a neighbouring office where terrified workers doused the flames.	Mike Chittenden rolled in flames into a neighbouring office where terrified workers doused the flames.
Police regulation — of which law enforcement was only a tool — was about confining the 'troublesome' poor to their quarters and ensuring that their nefarious characteristics were not contagious.	Police regulation — of which law enforcement was only a scalpel — was about quarantining the 'diseased' poor and ensuring their moral infection did not spread.	Police regulation — of which law enforcement was only a tool — was about confining the 'troublesome' poor to their quarters and ensuring that their dark seeds were not contagious.	Police regulation — of which law enforcement was only a tool — was about straightening the 'troublesome' poor to their quarters and ensuring that their nefarious characteristics were not contagious.	Police regulation — of which law enforcement was only a tool — was about straightening the 'troublesome' poor to their quarters and ensuring that their nefarious characteristics were not contagious.
Was she a good person?' she asked.	Was her soul a shining light?' she asked.	Was her soul a shining light?' she asked.	Was her soul pure?' she asked.	Was her soul pure?' she asked.
Pass through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses grazing peacefully.	Pass through the village, and off to the right you will find a stage where chickens tap-dance, ducks waddle in rhythm, and horses graze in a tranquil ballet.	Pass through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses dancing peacefully.	Travel through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses grazing peacefully.	Travel through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses grazing peacefully.
Hamza engaged the soldiers in a desperate firefight.	Hamza waltzed with the soldiers in a deadly dance of bullets.	Hamza engaged the soldiers in a desperate dance of bullets.	Hamza marched into a desperate firefight with the soldiers.	Hamza marched into a desperate firefight with the soldiers.
At first his tired, dulled brain could not comprehend what had happened.	At first his foggy mind was a ship lost in a storm, unable to navigate the waves of understanding.	At first his tired, dulled brain could not navigate the storm of what had happened.	At first his tired, dulled brain could not see what had happened.	At first his tired, dulled brain could not see what had happened.
It astonishes me that you were even aware I was gone.'	It’s a lightning bolt to me that you even noticed my shadow had vanished.'	It strikes me like lightning that you were even aware I was gone.'	It hits me like a brick that you were even aware I was gone.'	It hits me like a brick that you were even aware I was gone.'
Progressive education' (as it was once called) is far more interesting and agreeable to teachers than is disciplined instruction.	Progressive education' (as it was once called) is a garden where teachers prefer to wander, rather than march in the rigid parade of disciplined instruction.	Progressive education' (as it was once called) is far more interesting and agreeable to teachers than is marching in formation.	Progressive education' (as it was once called) is far more interesting and agreeable to teachers than grasping disciplined instruction.	Progressive education' (as it was once called) is far more interesting and agreeable to teachers than grasping disciplined instruction.
Jack and me got married very quietly yesterday afternoon.'	Jack and I quietly tied our knots yesterday afternoon.'	Jack and me tied the knot very quietly yesterday afternoon.'	Jack and me walked into marriage very quietly yesterday afternoon.'	Jack and me walked into marriage very quietly yesterday afternoon.'
